song_id,artist,song,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0gPgdRfB4jdGrlyXS0Vx78,KK,Khuda Jaane,सजदे में यूँ ही झुकता हूँ तुमपे ही आ के रुकता हूँ क्या ये सबको होता है हमको क्या लेना है सबसे तुमसे ही सब बातें अब से बन गए हो तुम मेरी दुआ  सजदे में यूँ ही झुकता हूँ तुमपे ही आ के रुकता हूँ क्या ये सबको होता है हमको क्या लेना है सबसे तुमसे ही सब बातें अब से बन गए हो तुम मेरी दुआ  खुदा जाने के मैं फ़िदा हूँ खुदा जाने मैं मिट गया खुदा जाने ये क्यूँ हुआ है के बन गए हो तुम मेरे खुदा ...   (1409620718682),0.382,0.632,8,-6.393,1,0.0411,0.391,0.000486,0.0922,0.716,78.936
1NyK6HEYrFuA6nNwEaCOai,S. P. Balasubrahmanyam,En Kadhale,Love is torchure Words can't just express Love is gamble With tears of pain in life distress Love makes your life in strain Where many stands To loose the game Love has this crazy name Where pain and sorrow Die down in shame  என் காதலே என் காதலே என்னை என்ன செய்யப் போகிறாய் நான் ஓவியன் என்று தெரிந்தும் நீ ஏன் கண்ணிரெண்டைக் கேட்கிறாய் சிலுவைகள் சிறகுகள் ரெண்டில் என்ன தரப் போகிறாய் கிள்ளுவதை கிள்ளி விட்டு ...   (1409620718682),0.416,0.329,4,-12.38,1,0.0346,0.808,0.0,0.0608,0.0976,120.026
37RHlFBt2K25EgSsjkVVtz,Abhijeet Srivastava,Aap Se Milkar,सदियों की मदहोशियों से सोया हुआ दिन जगा... हाँ हाँ... हलकी सी सरगोशियों से किस्मत का ताला खुला... हाँ हाँ...  जो हो रहा था सच्चा लगा जो हो रहा था सच्चा लगा हाँ लगा  आप से मिलकर अच्छा लगा आप से मिलकर अच्छा लगा आप से मिलकर अच्छा लगा अच्छा लगा...  आप से मिलकर अच्छा लगा आप से मिलकर अच्छा लगा आप से मिलकर अच्छा लगा अच्छा लगा...  हो टुक टुक लगा कर ...   (1409620718682),0.86,0.617,11,-5.072,1,0.109,0.169,3.9e-05,0.0798,0.716,96.029
6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,"And I'd give up forever to touch you 'Cause I know that you feel me somehow You're the closest to heaven that I'll ever be And I don't want to go home right now  And all I can taste is this moment And all I can breathe is your life And sooner or later, it's over I just don't wanna miss you tonight  And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken ...   (1409620718682)",0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925
4Q66chx9WzqWcLItXoZ5r4,Hozier,Cherry Wine - Live,"Her eyes and words are so icy, oh, but she burns Like rum on a fire Hot and fast and angry as she can be I walk my days on a wire  It looks ugly But it's clean Oh mama, don't fuss over me  The way she tells me I'm hers and she's mine Open hand or closed fist would be fine The blood is rare and sweet as cherry wine  ...   (1409620718682)",0.418,0.111,1,-14.848,1,0.0389,0.953,0.00342,0.0982,0.228,82.508
4bD9z9qa4qg9BhryvYWB7c,Tochi Raina,Kabira,Kaisi teri khudgarzi Na dhoop chune na chhaaon Kaisi teri khudgarzi Kisi thor tike na paaun Kaisi teri khudgarzi Na dhoop chune na chhaaon Kaisi teri khudgarzi Kisi thor tike na paaun  Ban liya apna paigambar Tar liya saat samandar Phir bhi sookha mann ke andar Kyun reh gaya  ...   (1409620718682),0.59,0.555,2,-6.852,1,0.0271,0.481,0.0,0.192,0.191,84.032
7eQl3Yqv35ioqUfveKHitE,Mohit Chauhan,Tum Se Hi,"ना है ये पाना ना खोना ही है तेरा ना होना जाने क्यूँ होना ही है  तुमसे ही दिन होता है सुरमयी शाम आती तुमसे ही तुमसे ही हर घड़ी साँस आती है ज़िंदगी कहलाती है तुमसे ही, तुमसे ही  ना है ये पाना ना खोना ही है तेरा ना होना जाने क्यूँ होना ही है  (आ आ आ आ आ) (आ आ आ आ आ) (आ आ आ आ आ) (आ आ आ आ आ)  (आ आ आ आ आ) (आ आ आ आ आ) (आ आ आ आ आ) (आ आ आ आ आ)  ...   (1409620718682)",0.609,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.007
0fGclndst25Qqy8j4u5De5,Anirudh Ravichander,Chellamma,இனிமே tiktok எல்லாம் இங்க ban'uமா நேரா duet பாட வாயேம்மா ரொம்ப strict'ah இருந்ததெல்லாம் போதும்மா கொஞ்சம் sweet'ah சிரிச்சு பேசேம்மா  செல்லம்மா செல்லம்மா அங்கம் மின்னும் தங்கம்மா பொன்னம்மா மெல்லம்மா கட்டி கிள்ளேன்மா கண்ணம்மா கண்ணம்மா கண்ணு ரெண்டும் gun அம்மா கொஞ்சம்மா கொஞ்சிம்மா சுட்டு தள்ளேன்ம்மா  பொல்லாத வயச சீண்டித்தான் போனாயே தடுத்தாலும் உனக்கே விழுவேன் நானே  கண்ணாடி மனச கல் வீசி பார்த்தாயே ஒடஞ்சாலும் காட்டுவேன் உன்ன நானே  மெழுகு doll'u நீ அழகு school'u நீ எனக்கு ஏத்தவ நீதான்டி  Handsome ஆளு நீ Super cool'u நீ நானும் நீயும்தான் செம ஜோடி  பொதுவா Dhoni போல நானும் calm'uமா ...   (1409620718682),0.498,0.679,4,-7.252,0,0.214,0.256,0.000325,0.0589,0.743,99.702
48QmG1dfvMuYLxMPt7KSRA,Sean Paul,No Lie,"Feel your eyes, they all over me Don't be shy, take control of me Get the vibe, it's gonna be lit tonight  Baby girl, yuh a carry ten ton a phatness, gimme some a' dat Pink sweetie badness, look how she hot She a black like goddess, but a nah jus dat It's a good piece 'a mentals under di cap Hot piece of gear mami love how yuh chat Watching every step 'a di pepper deh whe yuh got Stayin' in ma brain, memberin' all the touch Mainly my aim is to give you this love  Hypnotic, the way you move Let me acknowledge the way you do And I would not lie, baby you Beam me up like Scotty (Baby gal) It's so hypnotic, the way you move That's why I wanted to get to you And I would not lie, baby you Move so hypnotic  No lie (Gyal we never miss) Feel your eyes, they're all over me Don't be shy, take control of me Get the vibe, it's gonna be lit tonight (Gyal we never miss, gyal we never miss) No lie Hypnotized, pull another one It's alright, I know what you want Get the vibe, it's gonna be lit tonight (Gyal we never miss, gyal we never miss) No lie  Feels how we do it (No lie) It's always how we do it (No lie) Feels how we do it It's gonna be lit tonight No lie ...   (1409620718682)",0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04
665b3Nss3OQmhTUdB5hBXw,Pritam,Bheegi Si Bhaagi Si,"आई मेरी सुबह हंसती हंसाती बोली आँखें तेरे लिए संदेसा है, जागी आँखों को भी सपना मिलेगा कोई ख़ुशी आने का भी अंदेशा है,  गुलाबी सी सुबह, शराबी सी हवा भीगी सी भागी सी, मेरी बाजुओं में समाये जोगी सी जागी सी, कोई प्रेम धुन वो सुनाये भीगी सी भागी सी, मेरी बाजुओं में समाये जोगी सी जागी सी, कोई राम धुन वो सुनाये ...   (1409620718682)",0.564,0.867,8,-6.21,1,0.121,0.361,0.0,0.262,0.815,88.919
52itZ0w0CydihB2JCZEIft,Mohit Chauhan,Pee Loon,पी लूँ तेरे नीले-नीले नैनों से शबनम पी लूँ तेरे गीले-गीले होंठों की सरगम पी लूँ है पीने का मौसम  तेरे संग इश्क तारी है तेरे संग इक खुमारी है तेरे संग चैन भी मुझको तेरे संग बेकरारी है तेरे संग इश्क तारी है तेरे संग इक खुमारी है तेरे संग चैन भी मुझको तेरे संग बेकरारी है  तेरे बिन जी नहीं लगता तेरे बिन जी नहीं सकता तुझपे है हारे मैंने वारे दोजहां कुरबाँ-महरबाँ के मैं तो कुरबाँ सुन ले सदा  ...   (1409620718682),0.656,0.722,8,-5.064,1,0.0364,0.277,0.000138,0.187,0.883,83.949
3x55c9UVpbURc2T02DLfEM,Ash King,Te Amo,"Kisi ko sapna lagey tu, kisi ko behti hawa Kisi ko bas baaton mein, kare pal mein yahan wahan Kisi ke sau jhoot sun le, kisi ka sacch bhi ghunah Kisi ka bas yaadon mein, kare hulchul saara jahaan Te amo me te amo Tu chaon hai, tu dhoop hai Te amo me te amo Tere hazaaron roop hai Koi samja nahin, jo bhi hai bas khoob hai Falling so crazy in love Te amo me te amo Tu chaon hai, tu dhoop hai Te amo me te amo Tere hazaaron roop hai  Kabhi lagey raaton mein main khwaabon se baatien karoon subha hogi ...   (1409620718682)",0.592,0.757,11,-5.381,1,0.053,0.606,0.0,0.251,0.598,127.939
1f3yAtsJtY87CTmM8RLnxf,Nirvana,Smells Like Teen Spirit,"Load up on guns, bring your friends It's fun to lose and to pretend She's over-bored and self-assured Oh no, I know a dirty word  Hello, hello, hello, how low? Hello, hello, hello, how low? Hello, hello, hello, how low? Hello, hello, hello  With the lights out, it's less dangerous Here we are now, entertain us I feel stupid, and contagious Here we are now, entertain us A mulatto, an albino A mosquito, my libido, yeah  I'm worse at what I do best And for this gift, I feel blessed ...   (1409620718682)",0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
3APdIdF8H0jsxSuGOqXedS,Rashid Ali,Kabhi Kabhi Aditi,"कभी-कभी अदिती ज़िंदगी में यूँही कोई अपना लगता है कभी-कभी अदिती वो बिछड़ जाए तो एक सपना लगता है ऐसे में कोई कैसे अपने आँसुओ को बेहेने से रोके और कैसे कोई सोचले everything gonna be okay  कभी-कभी तो लगे ज़िंदगी में रही ना ख़ुशी और ना मज़ा कभी-कभी तो लगे हर दिन मुश्किल और हर पल एक सज़ा ऐसे में कोई कैसे मुस्कुराए, कैसे हँस दे ख़ुश होके और कैसे कोई सोचले everything gonna be okay  सोच ज़रा जाने-ए-जां तुझको हमे कितना चाहते हैं रोते हम भी अगर तेरे आँखों में आँसू आते हैं गाना तो आता नहीं है मगर फिर भी गाते हैं हे अदिती मान कभी, कभी सारे जहाँ में अँधेरा होता है ...   (1409620718682)",0.791,0.558,7,-7.155,0,0.0661,0.276,0.0,0.0859,0.872,95.077
3LWvtwgEIzC1wdHiUBoG1v,Shankar Mahadevan,Breathless - Shankar Mahadevan,"कोई जो मिला तो मुझे ऐसा लगता था जैसे मेरी सारी दुनिया में गीतों की रुत और रंगों की बरखा है खुशबू की आँधी है  महकी हुई सी अब सारी फ़ज़ायें हैं बहकी हुई सी अब सारी हवायें हैं खोई हुई सी अब सारी दिशायें हैं बदली हुई सी अब सारी अदायें हैं जागी उमंगें हैं धड़कर रहा है दिल साँसों में तूफ़ाँ है, होँठों पे नग़में हैं आँखों में सपने हैं सपनों में बीते हुए सारे वो लम्हें हैं  जब कोई आया था, नज़रों पे छाया था, दिल में समाया था कैसे मैं बताऊँ तुम्हें कैसे उसे पाया था प्यारे से चेहरे पे बिखरी जो ज़ुल्फ़ें तो ऐसे लगता था जैसे कोहरे के पीछे एक ओस में धुला हुआ फूल खिला जैसे बादल में एक चाँद छुपा है और झाँक रहा है ...   (1409620718682)",0.719,0.888,11,-3.964,1,0.0539,0.651,0.0,0.115,0.54,99.915
3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,"My lover's got humor She's the giggle at a funeral Knows everybody's disapproval I should've worshipped her sooner  If the heavens ever did speak She's the last true mouthpiece Every sunday's gettin' more bleak A fresh poison each week We were born sick You heard them say it  My church offers no absolutes She tells me, worship in the bedroom The only heaven I'll be sent to Is when I'm alone with you I was born sick, but I love it Command me to be well A-a-a-a, amen, amen, amen  Take me to church I'll worship like a dog at the shrine of your lies I'll tell you my sins, and you can sharpen your knife Offer me that deathless death Oh good God, let me give you my life  ...   (1409620718682)",0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945
514rhnksEwHUh6LxXsQ4Y9,Selena Gomez,Back To You,"Took you like a shot Thought that I could chase you with a cold evening Let a couple years water down how I'm feeling about you And every time we talk Every single word builds up to this moment And I gotta convince myself I don't want it even though I do  You could break my heart in two But when it heals, it beats for you I know it's forward but it's true  I wanna hold you when I'm not supposed to When I'm lying close to someone else You're stuck in my head and I can't get you out of it If I could do it all again I know I'd go back to you I know I'd go back to you I know I'd go back to you  We never got it right Playing and replaying old conversations ...   (1409620718682)",0.6,0.683,6,-6.271,1,0.0493,0.0984,1.26e-06,0.11,0.494,102.036
5MGdVJRHRfZ95yWQ2hCwRC,Yuvan Shankar Raja,Yedho Mayakkam,Yedho yedho oru mayakkam Engo kaatril nirainthirukum Ulle ulle unai elukum Ulle vanthaal nenju valukkum Intha ulagam puthu ulagam Kan thiranthum kaana ulagam  I like the way you move You like the way i move Why dont we dance together all night long. ...   (1409620718682),0.8,0.751,1,-4.972,1,0.0347,0.00194,0.437,0.0676,0.354,121.983
5wdkKS3kWXBU9bklLVsAFs,Mohit Chauhan,Ilahi,शामे मलंग सी रातें सुरंग सी बाघी उड़ान पे ही ना जाने क्यूँ इलाही मेरा जी आये आये इलाही मेरा जी आये आये  कल पे सवाल है जीना फिलहाल है खानाबदोशियों पे ही जाने क्यूँ ...   (1409620718682),0.568,0.921,9,-4.558,1,0.0771,0.279,3.32e-06,0.151,0.647,131.904
6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,Castle on the Hill,"When I was six years old, I broke my leg I was running from my brother and his friends And tasted the sweet perfume of the mountain grass I rolled down I was younger then, take me back to when I  Found my heart and broke it here Made friends and lost them through the years And I've not seen the roaring fields in so long I know I've grown, but I can't wait to go home  I'm on my way Driving at 90 down those country lanes Singing to Tiny Dancer And I miss the way you make me feel, and it's real When we watched the sunset over the castle on the hill  Fifteen years old and smoking hand-rolled cigarettes ...   (1409620718682)",0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
7F8RNvTQlvbeBLeenycvN6,A.R. Rahman,Kun Faya Kun,"या निज़ामुद्दीन औलिया या निज़ामुद्दीन सलक़ा  कदम बढ़ा ले हदों को मिटा ले आजा ख़ालीपन में पी का घर तेरा तेरे बिन ख़ाली, आजा, ख़ालीपन में तेरे बिन ख़ाली, आजा, ख़ालीपन में  रंगरेज़ा रंगरेज़ा रंगरेज़ा रंगरेज़ा  كن فيكون، كن فيكون، فيكون فيكون، فيكون، فيكون كن فيكون، كن فيكون، فيكون فيكون، فيكون، فيكون  जब कहीं पे कुछ नहीं भी नहीं था वही था, वही था, वही था, वही था जब कहीं पे कुछ नहीं भी नहीं था वही था, वही था, वही था, वही था  वो जो मुझ में समाया वो जो तुझ में समाया मौला वही वही माया वो जो मुझ में समाया वो जो तुझ में समाया मौला वही वही माया  كن فيكون، كن فيكون صدق الله العلي العظيم  ...   (1409620718682)",0.362,0.378,1,-11.008,1,0.0329,0.679,0.0,0.091,0.575,87.549
4rSmmC6OYmjVOYxr8ruVWN,Pritam,Mere Bina,"मेरे बिना मैं रहने लगा हूँ तेरी हवा में बहने लगा हूँ जाने मैं कैसे, तेरा हुआ हूँ मुझे तो लगता है मैं शायद तेरे दिल की दुआ हूँ तुझको जो पाया, तो जीना आया अब ये लम्हा ठहर जाए, थम जाए, बस जाए, हम दोनों के दरमियाँ तुझको जो पाया, तो जीना आया अब ये लम्हा ठहर जाए, थम जाए, बस जाए, हम दोनों के दरमियाँ  पहले से ज़्यादा, मैं जी रहा हूँ जब से मैं तेरे दिल से जुड़ा हूँ राहों पे तेरी मैं तो चला हूँ ...   (1409620718682)",0.495,0.768,2,-5.7,1,0.0545,0.653,0.0,0.152,0.489,79.909
0HPD5WQqrq7wPWR7P7Dw1i,Kesha,TiK ToK,"Wake up in the morning Feeling like P-Diddy (hey, what up, girl?) Grab my glasses, I'm out the door I'm gonna hit the city (let's go)  Before I leave brush my teeth With a bottle of Jack 'Cause when I leave for the night I ain't coming back  I'm talking pedicure on our toes, toes Trying on all our clothes, clothes Boys blowing up our phones, phones Drop-topping, playing our favorite CD's Rollin' up to the parties Trying to get a little bit tipsy  Don't stop, make it pop DJ, blow my speakers up Tonight, I'm-a fight Till we see the sunlight Tick-tock on the clock But the party don't stop, no  Don't stop, make it pop DJ, blow my speakers up Tonight, I'm-a fight 'Til we see the sunlight Tick-tock on the clock But the party don't stop, no  Ain't got a care in world ...   (1409620718682)",0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028
0NxgdbKwdArO2TsRDGedbg,Billie Eilish,lovely,"Thought I found a way Thought I found a way out (found) But you never go away (never go away) So, I guess I gotta stay now  Oh, I hope, someday, I'll make it out of here Even if it takes all night or a hundred years Need a place to hide, but I can't find one near Wanna feel alive, outside I can't fight my fear  Isn't it lovely, all alone Heart made of glass, my mind of stone ...   (1409620718682)",0.355,0.266,4,-10.226,0,0.0342,0.937,0.0,0.0938,0.128,114.665
0jZO7p0nBUi9VHedWUBS9l,Lord Huron,The Night We Met,I am not the only traveler Who has not repaid his debt I've been searching for a trail to follow again Take me back to the night we met  And then I can tell myself What the hell I'm supposed to do And then I can tell myself Not to ride along with you ...   (1409620718682),0.424,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.127
1bQhZOoXYqjXs7u7rFXo0h,James TW,You & Me,"I didn't mean to hurt you So why did I let you walk out the door? You say that you don't know me You don't know who I am anymore But if you knew the truth, then Then you wouldn't feel insecure 'Cause if I didn't have you I wouldn't have nothing at all  I wish you could see yourself through my eyes I always forget that you can't read my mind As long as I got you and me We'll win through this world as a two-man team I'll always have everything I need You don't even realize what you mean No one could fall for you quite like me No one could get me so perfectly You don't even realize You're all that I need 'cause  I want you and me, you and me ...   (1409620718682)",0.714,0.686,11,-6.333,1,0.0445,0.203,7.76e-06,0.102,0.828,127.015
2SbsvihBJmgNKZ4qkXFWrp,Extreme,More Than Words,"Saying ""I love you"" Is not the words I want to hear from you It's not that I want you Not to say But if you only knew How easy It would be to Show me how you feel More than words Is all you have to do To make it real Then you wouldn't Have to say That you love me Cause I'd already know What would you do? If my heart Was torn in two More than words To show you feel That your love ...   (1409620718682)",0.623,0.127,6,-14.935,1,0.0306,0.452,0.0,0.114,0.237,91.625
3X5Jbz7VhZfbPqIRmYIj8c,Shreya Ghoshal,Saans,"साँस में तेरी साँस मिली तो मुझे साँस आयी, मुझे साँस आयी मुझे साँस आयी  साँस में तेरी साँस मिली तो मुझे साँस आयी, मुझे साँस आयी मुझे साँस आयी  रूह ने छू ली जिस्म की ख़ुशबू तू जो पास आयी, तू जो पास आयी तू जो पास आयी  साँस में तेरी साँस मिली तो मुझे साँस आयी, मुझे साँस आयी मुझे साँस आयी ...   (1409620718682)",0.543,0.665,9,-8.295,1,0.0623,0.505,6.41e-06,0.144,0.495,81.97
44gvSP8Kpx6P7VSRHL9dN8,Ayushmann Khurrana,Pani Da Rang,"ਪਾਣੀ ਦਾ ਰੰਗ ਵੇਖ ਕੇ, ਪਾਣੀ ਦਾ ਰੰਗ ਵੇਖ ਕੇ ਪਾਣੀ ਦਾ ਰੰਗ ਵੇਖ ਕੇ ਅੱਖੀਆਂ ਚੋਂ ਹੰਝੂ ਰੁੜਦੇ ਅੱਖੀਆਂ ਚੋਂ ਹੰਝੂ ਰੁੜਦੇ (ਅੱਖੀਆਂ ਚੋਂ ਹੰਝੂ ਰੁੜਦੇ)  ਮਾਹੀਆ ਨਾ ਆਇਆ ਮੇਰਾ, ਮਾਹੀਆ ਨਾ ਆਇਆ ਮਾਹੀਆ ਨਾ ਆਇਆ ਮੇਰਾ, ਮਾਹੀਆ ਨਾ ਆਇਆ ਰਾਂਝਣਾ ਨਾ ਆਇਆ ਮੇਰਾ, ਮਾਹੀਆ ਨਾ ਆਇਆ ਮਾਹੀਆ ਨਾ ਆਇਆ ਮੇਰਾ, ਰਾਂਝਣਾ ਨਾ ਆਇਆ  ਅੱਖਾਂ ਦਾ ਨੂਰ ਵੇਖ ਕੇ, ਅੱਖਾਂ ਦਾ ਨੂਰ ਵੇਖ ਕੇ ਅੱਖੀਆਂ ਚੋਂ ਹੰਝੂ ਰੁੜਦੇ ਹੰਝੂ ਰੁੜਦੇ (ਅੱਖੀਆਂ ਚੋਂ ਹੰਝੂ ਰੁੜਦੇ) ਅੱਖੀਆਂ ਚੋਂ ਹੰਝੂ ਰੁੜਦੇ, ਅੱਖੀਆਂ ਚੋਂ ਹੰਝੂ ਰੁੜਦੇ  ...   (1409620718682)",0.672,0.67,4,-7.257,0,0.0315,0.172,0.000198,0.197,0.533,98.032
